0;1;101;53;23141
0;1;102;8;7151
0;1;103;8;4315
0;1;105;3;4698
0;1;107;11;42262
0;1;109;1;5300
0;1;110;11;138870
0;1;111;128;34559
0;1;112;13;2522
0;1;113;3;1407
0;1;;5;3900
0;1;122;1;1800
0;1;126;2;9599
0;1;128;4;5790
0;1;129;38;252842
0;1;130;58;424485
0;1;132;20;25836
0;1;133;145;735616
0;1;134;4;6098
0;1;135;88;60465
0;1;;39;280170
0;1;136;497;1273184
0;2;102;45;23533
0;2;110;7;99261
0;2;111;233;57726
0;2;112;26;5009
0;2;113;33;14013
0;2;129;21;152976
0;2;130;75;501058
0;2;133;71;378561
0;2;134;14;11952
0;2;135;48;34115
0;2;;22;174570
0;2;136;477;1003210
0;3;107;17;63582
0;3;110;1;13878
0;3;111;5;1362
0;3;114;31;126601
0;3;115;49;95380
0;3;116;22;38927
0;3;123;13;47850
0;3;126;4;22302
0;3;129;2;14251
0;3;133;82;555154
0;3;135;31;21117
0;3;;9;65547
0;3;136;87;302280
0;4;103;31;17787
0;4;110;2;25230
0;4;114;16;60930
0;4;116;12;12743
0;4;126;33;169948
0;4;128;23;24985
0;4;129;8;54236
0;4;130;2;14387
0;4;133;98;658456
0;4;135;47;35272
0;4;;12;91768
0;4;136;168;348473
0;5;101;17;8347
0;5;104;37;62713
0;5;106;3;2750
0;5;107;157;506998
0;5;108;49;106649
0;5;110;6;71366
0;5;111;2;428
0;5;119;13;16295
0;5;127;86;92505
0;5;129;8;49339
0;5;130;21;151308
0;5;131;33;30830
0;5;133;78;374815
0;5;135;70;57457
0;5;;14;101388
0;5;136;76;370466
0;6;103;15;6759
0;6;110;4;49510
0;6;111;31;8380
0;6;118;93;28805
0;6;121;18;6359
0;6;122;7;12855
0;6;124;43;61398
0;6;;155;31755
0;6;128;2;1843
0;6;129;82;477332
0;6;130;17;127551
0;6;133;66;292782
0;6;135;15;9799
0;6;;19;125202
0;6;136;126;398606
0;7;101;8;2875
0;7;109;2;1966
0;7;110;1;9935
0;7;111;47;12606
0;7;112;1;194
0;7;117;5;3021
0;7;129;24;105718
0;7;130;9;57593
0;7;133;21;104989
0;7;135;6;4378
0;7;;9;57532
0;7;136;79;226483
